Section,Category,Item,Current Status,Priority,Effort Estimate,Notes/Details,Blocking Launch
Core Auth,SSO/SAML,Implement SAML 2.0 provider integration (Okta Azure AD OneLogin),Not Started,Critical,2-3 weeks,Database tables ready - UI and integration missing,Yes - Enterprise requirement
Core Auth,SSO/SAML,Build SAML configuration management UI,Not Started,Critical,1 week,Need admin interface for configuring SAML providers,Yes - Enterprise requirement
Core Auth,SSO/SAML,Implement OAuth flow (Google Microsoft GitHub),Not Started,Critical,1 week,Standard OAuth 2.0 implementation needed,Yes - Enterprise requirement
Core Auth,SSO/SAML,Add LDAP/Active Directory integration,Not Started,High,1-2 weeks,Enterprise customers use AD for identity,No
Core Auth,MFA,Build TOTP setup and verification screens,Not Started,Critical,1 week,Database ready - need mobile authenticator flow,Yes - Security requirement
Core Auth,MFA,Implement SMS MFA option,Not Started,High,3-5 days,Need Twilio integration,No
Core Auth,MFA,Implement Email MFA option,Not Started,High,2-3 days,Need email service first,No
Core Auth,MFA,Build device trust management UI,Not Started,High,1 week,Allow users to manage trusted devices,No
Core Auth,Session,Verify session timeout configuration (30 min),Implemented,Low,1 day,Verify production settings match requirements,No
Core Auth,Session,Test session auto-refresh mechanism,Implemented,Medium,1 day,Needs end-to-end testing,No
Core Auth,RBAC,Verify 7 core roles are properly configured,Implemented,Low,2-3 days,root_admin admin project_manager field_supervisor office_staff accounting client_portal,No
Core Auth,RBAC,Verify 22 permissions are properly enforced,Implemented,Medium,3-5 days,Test permission enforcement across all routes,No
Core Auth,Biometric,Implement fingerprint/Face ID for mobile,Not Started,Low,2 weeks,Planned for mobile enhancement,No
Security,RLS,Apply Phase 5 RLS migration,Not Applied,Critical,2 hours,File exists: 20250202000028_phase5_rls_policies.sql - run in SQL Editor,Yes - Security blocker
Security,RLS,Verify RLS on all 30+ tables,Mostly Complete,High,3-5 days,Audit and test RLS policies on all tenant tables,Yes - Security blocker
Security,Encryption,Implement field-level encryption for sensitive data,Not Started,High,1-2 weeks,Tax IDs SSNs bank info need encryption at rest,Yes - Compliance
